,store_id,store_name,title,writer,link,summary,blog_name,original_index
0,1363958385,퀸보떼,영등포미용실 붙임머리잘하는 곳,young_0304,https://m.blog.naver.com/young_0304/221971572647,붙임머리중 트위스트땋기 붙임머리.^^ 땋기붙임머리 잘하는곳은 관리가 가장 편해야 한다 생각했던것보다 답답하지도 않아야하고 가벼워야하는게 가장 포인트!! 자세한 설명드리기워해 하나만.^^ 이것만 봐도... ,프리미엄 온라인 디자인 헤어 (퀸보떼 헤어),16
1,1333016635,하날살롱,OPEN EVENT,zis_slz,https://m.blog.naver.com/zis_slz/221934003183,하날살롱 오픈이벤트 진행중입니다! 2020년 7월 19일 까지로 문의부탁드립니다. ▶카카오채널 hanal_salon ▶인스타 hanal__sanlon ☎ 02.2611.4533 OPEN EVENT https://booking.naver.com/booking... ,하날살롱,24
2,1638542171,제오헤어 염창역점,강서구미용실: 손상된 모발에 상하지않게 여신머리 장착하세요!,space2172,https://m.blog.naver.com/space2172/221973132057,안녕하세요 ~ 제오헤어 염창역점 입니다!! 오랜만에 인사드려요ㅎ.ㅎ #제오헤어염창역점 에서는 고객님과 충분한 상담을 통해 고객님의 니즈를 충분히 파악하고 시술을 도와드린 답니다!! 오늘 소개해드릴 스타일은... ,제오헤어 염창역점,26
3,38654957,순수한헤어,"오류동 미용실, 순수한헤어에서 탈색없이 애쉬염색 하고 왔어요 :D",danbi141016,https://m.blog.naver.com/danbi141016/221043229181,"집 앞 미용실에서 펌을 한번 한 이후에 급속도로 머리가 상해가고 겉잡을 수가 없어졌다. 그러던 중, 우리동네와는 사뭇다른 분위기의 세련된 미용실을 발견했다. 바로바로~ 오류동 미용실, 오류동 예약제 미용실... ",danbi141016님의블로그,52
4,37767311,헤어바이반룬하우트 행당점,얼굴 축소 커트 [헤어바이반룬하우트 행당점] 여자 단발머리... ,bongsalonhairarte,https://m.blog.naver.com/bongsalonhairarte/221492651617,안녕하세요!!! 블로그지기!! 인사드립니다!! 잘지내셨나요? 얼마전에 매장에서 스타일 작업을 해봤네요~ 오늘은 얼굴축소 컷 ㅎㅎ 잘보세용~ 짜잔~ 이분이 모델~~ 흠.. 요기장!! 이!! 기장!! 참 애매모호한 기장인데요 ..... ,헤어바이반룬하우트 행당점,50
5,37767311,헤어바이반룬하우트 행당점,성동구 미용실[헤어바이 반룬하우트 행당점] 우리미용실이야기,bongsalonhairarte,https://m.blog.naver.com/bongsalonhairarte/221483592485,안녕하세요!!!!! 블로그 지기입니다!! 잘지내셨나요?? 앞으로 블로그좀 열심히 해보려고해요!! 눈이 즐겁고 뇌가 즐거운 소중한 정보 많이 포스팅 해볼게요!!! (구) 봉살롱 헤어 아르떼 (현) 헤어바이 반룬하우트 행당점!!... ,헤어바이반룬하우트 행당점,50
6,37767311,헤어바이반룬하우트 행당점,꺄아~ 컷트머리! [반룬하우트 행당점] 미용실 숏컷! 여자의 권력은... ,bongsalonhairarte,https://m.blog.naver.com/bongsalonhairarte/221483628370,말했죠 열심히 포스팅할거라구요!!!!! 성동구 최고의 미용실 반룬하우트 행당점!!! 여자의권력은 머리에서부터 나온다!! 모든 여성의 권력이 높아지는 그날까지.. 쉬지않고 달려갑니다! 오늘은 강호원장님의 컷트머리를... ,헤어바이반룬하우트 행당점,50
7,37767311,헤어바이반룬하우트 행당점,[봉살롱 헤어아르떼] 형쌤 남자들의 로망 편한 머리 볼륨매직?... ,kshyng,https://m.blog.naver.com/kshyng/221402536788,안녕하세요!! 형쌤입니다. 오랫만이죠? 이직하고 처음쓰는 포스팅이네요 ㅎㅎ 그런데 첫글 부터 고구마 입니다 .. ㅠㅠ 누가!! 감히 누가!! 제손님 머리를!! 이렇게 성의없이..할수 있다는 말입니까!!! 보세요.. 곱슬머리... ,디자이너형,50
8,37767311,헤어바이반룬하우트 행당점,남자염색[헤어바이반룬하우트행당점] 행당동미용실 행당미용실... ,bongsalonhairarte,https://m.blog.naver.com/bongsalonhairarte/221484537080,안녕하세요!! 블로그지기입니다!! 하루에!! 하나씩!! 힘들지만해봐야겠쥬? 오늘은 토요일.. 그리고 따뜻한봄.. 그리고 따뜻한 컬러.. 여러분은 어떤색을 좋아하시나요? 이번에는 염색입니다. 염색은 하고 싶고 너무... ,헤어바이반룬하우트 행당점,50
9,37767311,헤어바이반룬하우트 행당점,언발란스 숏컷 [반룬하우트 행당점] 여자 숏컷 비대칭 커트,bongsalonhairarte,https://m.blog.naver.com/bongsalonhairarte/221568332491,"안녕하세요 반룬하우트 행당점입니다 이제 서서히 날씨가 더워지고 있는데요,,, 저는 휴가 계획 짜면서 더위를 견디고 있답니다! 여행은 언제나 설레고 기대되는 것 같아요 ㅎㅎ 오늘 스타일도 더위에 맞서 짧은 커트... ",헤어바이반룬하우트 행당점,50
