,store_id,store_name,tel,addrRoad,district,neighborhood,nearby_station,nearby_station_distance,best_style,review_count,coord_x,coord_y,sanitation,cs,mood,loc,satisfaction,etc,total_score,district_neighbor
0,1518997092,준오헤어 노원사거리점,02-938-0605,서울특별시 노원구 동일로 1413 남성빌딩 3층 준오헤어,노원구,상계동,노원역,51,_,5947,127.06001174528762,37.65467713499782,33.071151797260285,68.61058060163221,27.41453481953945,6.263753503318513,91.39689029334488,93.43964479133972,91.1129135005504,노원구 상계동
1,1571970153,차홍룸 홍대점,02-336-3656,서울특별시 마포구 양화로 61,마포구,서교동,합정역/망원역/상수역,114/731/733,엘리자벳펌,4784,126.915070915818,37.5508209103915,31.25351537916333,66.95330887019367,26.696351199250643,6.256523936405066,90.40620241935595,88.08340648316003,87.88030358763125,마포구 서교동
2,1142939643,차홍룸 용산센트럴점,02-797-3655,서울특별시 용산구 한강대로 95 래미안 더센트럴 A동 2층 201호,용산구,한강로2가,신용산역/용산역/삼각지역/이촌역,58/234/729/944,_,5428,126.967410559485,37.52954461473736,30.86266934755625,72.85895994730227,27.21536611776909,6.342813026312536,92.00003431332705,89.93107189140902,91.1304050120812,용산구 한강로2가
3,1524045876,차홍룸 신논현점,02-535-3658,서울특별시 서초구 강남대로 463 리젠타워 3층,서초구,서초동,신논현역/강남역/사평역/논현역/언주역,177/673/815/895/946,_,4939,127.02444657684099,37.50344901227179,32.20584633577867,80.66402061754165,27.23321662049509,6.953872708989349,92.43849588717758,92.64860713663909,95.09803348253644,서초구 서초동
4,32692564,CHOP헤어 신천점,02-418-8077,서울특별시 송파구 올림픽로10길 9 진영빌딩,송파구,잠실동,종합운동장역/잠실새내역/삼전역,439/457/880,다운펌,4351,127.08124171751,37.5108082407316,31.70552975363623,58.57686886276926,27.702854944446344,8.578515810335723,87.93772753350076,91.50255282736549,85.9871555399979,송파구 잠실동
5,1088094452,차홍룸 목동점,02-2643-3656,서울특별시 양천구 오목로 345,양천구,목동,오목교역/양평역/목동역,50/943/999,_,4753,126.875795639242,37.5247634529239,31.33555997818284,67.5380273674996,27.077424673526696,6.166860605801529,87.46182193059539,90.8644605539786,87.82133795940985,양천구 목동
6,1746174193,차홍룸 신촌점,02-392-3656,서울특별시 서대문구 신촌로 99,서대문구,창천동,신촌역/서강대역/이대역/홍대입구역,56/420/828/908,_,5155,126.9371568973312,37.55568930688561,30.54581591708157,70.69594134676332,26.781165878458452,5.003082579314466,93.83752367187846,91.28441114476942,91.2696589856395,서대문구 창천동
7,1967312452,차홍룸 한남점,02-792-3655,서울특별시 용산구 이태원로 217 2층 19호,용산구,한남동,이태원역/한강진역,322/623,_,4904,126.997909125039,37.5350875469715,31.582331069343976,70.42264836430634,27.115026773748546,6.8726701263695835,91.1742041283474,92.4418277196882,91.03449817262451,용산구 한남동
8,38642772,제오헤어 신촌점,02-313-6264,서울특별시 서대문구 연세로 26-1,서대문구,창천동,신촌역/서강대역/이대역/홍대입구역,310/665/831/887,다운펌/트위스트펌,4719,126.937136854961,37.5579922452933,30.8433990252172,70.42771747750538,27.00624875341532,6.365070605272821,86.5324534397486,89.82569228977594,87.93965118655646,서대문구 창천동
9,21331306,CHOP헤어 잠실점,02-415-8077,서울특별시 송파구 올림픽로12길 4,송파구,잠실동,잠실새내역/종합운동장역/삼전역,314/570/848,_,4678,127.082780469962,37.5112720905425,31.509259957236786,63.56115026951274,27.423158933789068,8.018614195739678,89.17188357294113,87.49456755479956,86.59020399654565,송파구 잠실동
